nt 102600001
NFil 2 
irLigand 2.250000
brLigand 1.000000
Force 0.000000
kdimer 0.000000
dimerDist0 1.000000
baseSepDistance 1.000000
1-POcclude[nf][iy] 0 22 1.100231e-01
PMembraneOcclude[nf][iy] 0 22 0.000000e+00
Prvec0[nf][iy] 0 22 3.744240e-03
rMiSiteBar[nf][iy] 0 22 0.003971
rM2iSiteBar[nf][iy] 0 22 7.589827
iSite[nf][iy] 0 23 23
POcclude[nf][iy] 0 23 8.861623e-01
1-POcclude[nf][iy] 0 23 1.138377e-01
PMembraneOcclude[nf][iy] 0 23 0.000000e+00
Prvec0[nf][iy] 0 23 3.646610e-03
rMiSiteBar[nf][iy] 0 23 0.003236
rM2iSiteBar[nf][iy] 0 23 7.923684
iSite[nf][iy] 0 24 24
POcclude[nf][iy] 0 24 8.812478e-01
1-POcclude[nf][iy] 0 24 1.187522e-01
PMembraneOcclude[nf][iy] 0 24 0.000000e+00
Prvec0[nf][iy] 0 24 3.352915e-03
rMiSiteBar[nf][iy] 0 24 0.002684
rM2iSiteBar[nf][iy] 0 24 8.250480
iSite[nf][iy] 0 25 25
POcclude[nf][iy] 0 25 8.762353e-01
1-POcclude[nf][iy] 0 25 1.237647e-01
PMembraneOcclude[nf][iy] 0 25 0.000000e+00
Prvec0[nf][iy] 0 25 3.198411e-03
rMiSiteBar[nf][iy] 0 25 0.002987
rM2iSiteBar[nf][iy] 0 25 8.579890
iSite[nf][iy] 0 26 26
POcclude[nf][iy] 0 26 8.637767e-01
1-POcclude[nf][iy] 0 26 1.362233e-01
PMembraneOcclude[nf][iy] 0 26 0.000000e+00
Prvec0[nf][iy] 0 26 3.034927e-03
rMiSiteBar[nf][iy] 0 26 0.002217
rM2iSiteBar[nf][iy] 0 26 8.912926
iSite[nf][iy] 0 27 27
POcclude[nf][iy] 0 27 8.489700e-01
1-POcclude[nf][iy] 0 27 1.510300e-01
PMembraneOcclude[nf][iy] 0 27 0.000000e+00
Prvec0[nf][iy] 0 27 2.872940e-03
rMiSiteBar[nf][iy] 0 27 0.002099
rM2iSiteBar[nf][iy] 0 27 9.250942
iSite[nf][iy] 0 28 28
POcclude[nf][iy] 0 28 8.227050e-01
1-POcclude[nf][iy] 0 28 1.772950e-01
PMembraneOcclude[nf][iy] 0 28 0.000000e+00
Prvec0[nf][iy] 0 28 2.721084e-03
rMiSiteBar[nf][iy] 0 28 0.002184
rM2iSiteBar[nf][iy] 0 28 9.583600
iSite[nf][iy] 0 29 29
POcclude[nf][iy] 0 29 7.049619e-01
1-POcclude[nf][iy] 0 29 2.950381e-01
PMembraneOcclude[nf][iy] 0 29 0.000000e+00
Prvec0[nf][iy] 0 29 2.560133e-03
rMiSiteBar[nf][iy] 0 29 0.001958
rM2iSiteBar[nf][iy] 0 29 9.913346
1-POccludeBase[nf] 0 9.534471e-02
reeFilBar[nf][nf2] 0 0 0.000000
reeFilBar[nf][nf2] 0 1 7.203798
ree2FilBar[nf][nf2] 0 0 0.000000
ree2FilBar[nf][nf2] 0 1 61.000433
reeiSiteBar[nf][iy] 0 0 1.000000
ree2iSiteBar[nf][iy] 0 0 1.000000
reeiSiteBar[nf][iy] 0 1 1.354519
ree2iSiteBar[nf][iy] 0 1 1.998601
reeiSiteBar[nf][iy] 0 2 1.632119
ree2iSiteBar[nf][iy] 0 2 2.983747
reeiSiteBar[nf][iy] 0 3 1.872678
ree2iSiteBar[nf][iy] 0 3 3.982494
reeiSiteBar[nf][iy] 0 4 2.088164
ree2iSiteBar[nf][iy] 0 4 4.987609
reeiSiteBar[nf][iy] 0 5 2.283882
ree2iSiteBar[nf][iy] 0 5 5.995741
reeiSiteBar[nf][iy] 0 6 2.464639
ree2iSiteBar[nf][iy] 0 6 7.006559
reeiSiteBar[nf][iy] 0 7 2.633259
ree2iSiteBar[nf][iy] 0 7 8.019226
reeiSiteBar[nf][iy] 0 8 2.790215
ree2iSiteBar[nf][iy] 0 8 9.022798
reeiSiteBar[nf][iy] 0 9 2.939202
ree2iSiteBar[nf][iy] 0 9 10.029317
reeiSiteBar[nf][iy] 0 10 3.079550
ree2iSiteBar[nf][iy] 0 10 11.026202
reeiSiteBar[nf][iy] 0 11 3.212752
ree2iSiteBar[nf][iy] 0 11 12.012759
reeiSiteBar[nf][iy] 0 12 3.339493
ree2iSiteBar[nf][iy] 0 12 12.993007
reeiSiteBar[nf][iy] 0 13 3.464770
ree2iSiteBar[nf][iy] 0 13 13.995055
reeiSiteBar[nf][iy] 0 14 3.584845
ree2iSiteBar[nf][iy] 0 14 14.989777
reeiSiteBar[nf][iy] 0 15 3.702962
ree2iSiteBar[nf][iy] 0 15 16.002159
reeiSiteBar[nf][iy] 0 16 3.814413
ree2iSiteBar[nf][iy] 0 16 16.995497
reeiSiteBar[nf][iy] 0 17 3.924964
ree2iSiteBar[nf][iy] 0 17 18.002928
reeiSiteBar[nf][iy] 0 18 4.030984
ree2iSiteBar[nf][iy] 0 18 18.996754
reeiSiteBar[nf][iy] 0 19 4.134430
ree2iSiteBar[nf][iy] 0 19 19.996124
reeiSiteBar[nf][iy] 0 20 4.236453
ree2iSiteBar[nf][iy] 0 20 21.003053
reeiSiteBar[nf][iy] 0 21 4.335720
ree2iSiteBar[nf][iy] 0 21 22.007785
reeiSiteBar[nf][iy] 0 22 4.430888
ree2iSiteBar[nf][iy] 0 22 22.992548
reeiSiteBar[nf][iy] 0 23 4.525352
ree2iSiteBar[nf][iy] 0 23 23.991380
reeiSiteBar[nf][iy] 0 24 4.617258
ree2iSiteBar[nf][iy] 0 24 24.980951
reeiSiteBar[nf][iy] 0 25 4.707524
ree2iSiteBar[nf][iy] 0 25 25.971595
reeiSiteBar[nf][iy] 0 26 4.797147
ree2iSiteBar[nf][iy] 0 26 26.973905
reeiSiteBar[nf][iy] 0 27 4.885599
ree2iSiteBar[nf][iy] 0 27 27.982953
reeiSiteBar[nf][iy] 0 28 4.971572
ree2iSiteBar[nf][iy] 0 28 28.977154
reeiSiteBar[nf][iy] 0 29 5.055913
ree2iSiteBar[nf][iy] 0 29 29.976785
N[nf] 1 30
ksStatistic[nf] 1 0.000823
reeBar[nf] 1 5.057648
ree2Bar[nf] 1 29.993175
rMBar[nf] 1 -0.002395
rM2Bar[nf] 1 9.901027
iSite[nf][iy] 1 0 0
POcclude[nf][iy] 1 0 9.058305e-01
1-POcclude[nf][iy] 1 0 9.416955e-02
PMembraneOcclude[nf][iy] 1 0 0.000000e+00
Prvec0[nf][iy] 1 0 0.000000e+00
rMiSiteBar[nf][iy] 1 0 -0.001534
rM2iSiteBar[nf][iy] 1 0 0.248814
iSite[nf][iy] 1 1 1
POcclude[nf][iy] 1 1 9.109845e-01
1-POcclude[nf][iy] 1 1 8.901551e-02
PMembraneOcclude[nf][iy] 1 1 0.000000e+00
Prvec0[nf][iy] 1 1 1.712658e-01
rMiSiteBar[nf][iy] 1 1 -0.000636
rM2iSiteBar[nf][iy] 1 1 0.594957
iSite[nf][iy] 1 2 2
POcclude[nf][iy] 1 2 9.101709e-01
1-POcclude[nf][iy] 1 2 8.982911e-02
PMembraneOcclude[nf][iy] 1 2 0.000000e+00
Prvec0[nf][iy] 1 2 4.161987e-02
rMiSiteBar[nf][iy] 1 2 -0.001480
rM2iSiteBar[nf][iy] 1 2 0.924403
iSite[nf][iy] 1 3 3
POcclude[nf][iy] 1 3 9.113647e-01
1-POcclude[nf][iy] 1 3 8.863526e-02
PMembraneOcclude[nf][iy] 1 3 0.000000e+00
Prvec0[nf][iy] 1 3 4.464685e-02
rMiSiteBar[nf][iy] 1 3 -0.001563
rM2iSiteBar[nf][iy] 1 3 1.253506
iSite[nf][iy] 1 4 4
POcclude[nf][iy] 1 4 9.106873e-01
1-POcclude[nf][iy] 1 4 8.931268e-02
PMembraneOcclude[nf][iy] 1 4 0.000000e+00
Prvec0[nf][iy] 1 4 3.054292e-02
rMiSiteBar[nf][iy] 1 4 -0.001217
rM2iSiteBar[nf][iy] 1 4 1.591431
iSite[nf][iy] 1 5 5
POcclude[nf][iy] 1 5 9.094550e-01
1-POcclude[nf][iy] 1 5 9.054496e-02
PMembraneOcclude[nf][iy] 1 5 0.000000e+00
Prvec0[nf][iy] 1 5 2.441815e-02
rMiSiteBar[nf][iy] 1 5 -0.002366
rM2iSiteBar[nf][iy] 1 5 1.925699
iSite[nf][iy] 1 6 6
POcclude[nf][iy] 1 6 9.089964e-01
1-POcclude[nf][iy] 1 6 9.100355e-02
PMembraneOcclude[nf][iy] 1 6 0.000000e+00
Prvec0[nf][iy] 1 6 2.018726e-02
rMiSiteBar[nf][iy] 1 6 -0.001418
rM2iSiteBar[nf][iy] 1 6 2.258186
iSite[nf][iy] 1 7 7
POcclude[nf][iy] 1 7 9.094176e-01
1-POcclude[nf][iy] 1 7 9.058243e-02
PMembraneOcclude[nf][iy] 1 7 0.000000e+00
Prvec0[nf][iy] 1 7 1.690204e-02
rMiSiteBar[nf][iy] 1 7 -0.002862
rM2iSiteBar[nf][iy] 1 7 2.593263
iSite[nf][iy] 1 8 8
POcclude[nf][iy] 1 8 9.088841e-01
1-POcclude[nf][iy] 1 8 9.111592e-02
PMembraneOcclude[nf][iy] 1 8 0.000000e+00
Prvec0[nf][iy] 1 8 1.414653e-02
rMiSiteBar[nf][iy] 1 8 -0.002158
rM2iSiteBar[nf][iy] 1 8 2.922522
iSite[nf][iy] 1 9 9
POcclude[nf][iy] 1 9 9.084790e-01
1-POcclude[nf][iy] 1 9 9.152101e-02
PMembraneOcclude[nf][iy] 1 9 0.000000e+00
Prvec0[nf][iy] 1 9 1.249511e-02
rMiSiteBar[nf][iy] 1 9 -0.001849
rM2iSiteBar[nf][iy] 1 9 3.258803
iSite[nf][iy] 1 10 10
POcclude[nf][iy] 1 10 9.072229e-01
1-POcclude[nf][iy] 1 10 9.277708e-02
PMembraneOcclude[nf][iy] 1 10 0.000000e+00
Prvec0[nf][iy] 1 10 1.071936e-02
rMiSiteBar[nf][iy] 1 10 -0.001193
rM2iSiteBar[nf][iy] 1 10 3.591792
iSite[nf][iy] 1 11 11
POcclude[nf][iy] 1 11 9.068803e-01
1-POcclude[nf][iy] 1 11 9.311969e-02
PMembraneOcclude[nf][iy] 1 11 0.000000e+00
Prvec0[nf][iy] 1 11 9.639788e-03
rMiSiteBar[nf][iy] 1 11 -0.000417
rM2iSiteBar[nf][iy] 1 11 3.921804
iSite[nf][iy] 1 12 12
POcclude[nf][iy] 1 12 9.064375e-01
1-POcclude[nf][iy] 1 12 9.356254e-02
PMembraneOcclude[nf][iy] 1 12 0.000000e+00
Prvec0[nf][iy] 1 12 8.684559e-03
rMiSiteBar[nf][iy] 1 12 -0.000554
rM2iSiteBar[nf][iy] 1 12 4.258609
iSite[nf][iy] 1 13 13
POcclude[nf][iy] 1 13 9.050010e-01
1-POcclude[nf][iy] 1 13 9.499902e-02
PMembraneOcclude[nf][iy] 1 13 0.000000e+00
Prvec0[nf][iy] 1 13 7.470289e-03
rMiSiteBar[nf][iy] 1 13 -0.001899
rM2iSiteBar[nf][iy] 1 13 4.590023
iSite[nf][iy] 1 14 14
POcclude[nf][iy] 1 14 9.047267e-01
1-POcclude[nf][iy] 1 14 9.527329e-02
PMembraneOcclude[nf][iy] 1 14 0.000000e+00
Prvec0[nf][iy] 1 14 6.991120e-03
rMiSiteBar[nf][iy] 1 14 -0.002461
rM2iSiteBar[nf][iy] 1 14 4.925777
iSite[nf][iy] 1 15 15
POcclude[nf][iy] 1 15 9.035916e-01
1-POcclude[nf][iy] 1 15 9.640840e-02
PMembraneOcclude[nf][iy] 1 15 0.000000e+00
Prvec0[nf][iy] 1 15 6.389914e-03
rMiSiteBar[nf][iy] 1 15 -0.002813
rM2iSiteBar[nf][iy] 1 15 5.252939
iSite[nf][iy] 1 16 16
POcclude[nf][iy] 1 16 9.015466e-01
1-POcclude[nf][iy] 1 16 9.845337e-02
PMembraneOcclude[nf][iy] 1 16 0.000000e+00
Prvec0[nf][iy] 1 16 5.827622e-03
rMiSiteBar[nf][iy] 1 16 -0.002464
rM2iSiteBar[nf][iy] 1 16 5.581147
iSite[nf][iy] 1 17 17
POcclude[nf][iy] 1 17 9.016815e-01
1-POcclude[nf][iy] 1 17 9.831849e-02
PMembraneOcclude[nf][iy] 1 17 0.000000e+00
Prvec0[nf][iy] 1 17 5.371249e-03
rMiSiteBar[nf][iy] 1 17 -0.002319
rM2iSiteBar[nf][iy] 1 17 5.921885
iSite[nf][iy] 1 18 18
POcclude[nf][iy] 1 18 9.000246e-01
1-POcclude[nf][iy] 1 18 9.997540e-02
PMembraneOcclude[nf][iy] 1 18 0.000000e+00
Prvec0[nf][iy] 1 18 4.969447e-03
rMiSiteBar[nf][iy] 1 18 -0.001545
rM2iSiteBar[nf][iy] 1 18 6.249087
iSite[nf][iy] 1 19 19
POcclude[nf][iy] 1 19 8.976217e-01
1-POcclude[nf][iy] 1 19 1.023783e-01
PMembraneOcclude[nf][iy] 1 19 0.000000e+00
Prvec0[nf][iy] 1 19 4.683005e-03
rMiSiteBar[nf][iy] 1 19 -0.001749
rM2iSiteBar[nf][iy] 1 19 6.579627
iSite[nf][iy] 1 20 20
POcclude[nf][iy] 1 20 8.953674e-01
1-POcclude[nf][iy] 1 20 1.046326e-01
PMembraneOcclude[nf][iy] 1 20 0.000000e+00
Prvec0[nf][iy] 1 20 4.325759e-03
rMiSiteBar[nf][iy] 1 20 -0.001841
rM2iSiteBar[nf][iy] 1 20 6.911692
iSite[nf][iy] 1 21 21
POcclude[nf][iy] 1 21 8.932773e-01
